clean_text,metadata,category
"i’m here for the good food and vibes alot of tom yum selection here, i guess is their specialty!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Zache He""}",Val
the food is amazing and the staff is friendly.,"{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""King C""}",Val
the best tomyum pasta! known them.since the kreta ayer days!,"{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Mingli""}",Val
"after many years, it never fails!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""shae png""}",Val
"big portions of food, value for money.","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Aaron Chong""}",Val
"had a great dining experience at 49 seats! the food was delicious, especially their signature pasta dishes. cozy atmosphere, friendly staff, and reasonable prices. definitely a spot worth revisiting!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Vincent Shawal""}",Val
the place is amazing the staff is highly alert and the atmosphere is welcoming,"{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Essie Ncube""}",Val
very packed. have to wait 30 mins for table. good food.,"{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Shamsul Muhmad""}",Val
"if you want live seafood and at reasonable price, try here! value for money :)","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Sing Huat""}",Val
nice dinner at the seafront,"{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Edmund oh""}",Val
"delay with meal , accidentally given to another guest. when arrived it was only warm . spoke with manager who apologized","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Barry Martin""}",Val
"food is nice, service is fast but aircon needs a bit of work. overall, will come again!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Cheery""}",Val
food is good!,"{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Adhishni""}",Val
"perfect for a day out with your kids. i would strongly recommend their sambal goreng pasta, sweet potato fries and honey earl grey hazelnut layer cake!","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Kaviraj Anbalagan""}",Val
wide range of food options. service provided by staff members was good. particularly enjoyed the waffles with chicken. would recommend!,"{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Duddux""}",Val
food is great. ambiance is cozy service is awesome! keep up the good work.,"{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Fatima hussin""}",Val
"the ambience was excellent, and the staff were very friendly—especially syahir, who took great care of all of us.","{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Yvonne Lim Kar Yan""}",Val
syahir very friendly and professional,"{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Freddie Soh""}",Val
syahir is very friendly and helpful.,"{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""Lee WoonYew""}",Val
Best Maggi in Town is just next door. Visit Harry's to try it now!,"{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""X Lim""}",Ad
Order now with Dominos and get FREE dessert with every meal. Fast delivery guaranteed!,"{""rating"":5,""store_name"":""Good Bites"",""reviewer_name"":""rody ng""}",Ad
