clean_text,metadata,category
"Poor attitude, ordinary food, arrogant personality, no higher consumption when eating in a restaurant, and better service attitude than here","{""rating"":2,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Kheng poh Tan""}",Val
"The price is average, the taste is OK, it is not particularly good or bad","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Zen Hoo""}",Val
"Nice food! So crowded, the seafood very fresh except the clam a lot of sand.","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Elyse J""}",Val
"Not cross_mark","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Ady Ernanda""}",Irr
"Great place to eat with friends","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""effie soon""}",Val
"We loved the seafood carbonara pasta!","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""lilian chan""}",Val
"chill space to unwind after a long week.  tom yam pasta is a crowd’s fav (not in frame)  strongly recommend!","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Hendrick""}",Val
"The service here is very good My food came very fast","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Kyzen Goh""}",Val
"very good and very nice emmanuel was a very good waiter","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Zachary Zavian""}",Val
"food very nice and service very good!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Garren Lim""}",Val
"Have been eating here since close to a decade ago and their Tom Yum Seafood Pasta never fails to deliver!!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Yong Xiang Toh""}",Val
"Great food, great location, great ambience!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""hello mark""}",Val
"Good Tom yum pasta. More on sour side. Nice cheese fries.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Juicy Stuff""}",Val
"Always love the tom yum seafood cream pasta!","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""R T""}",Val
"Great service","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Darkange :3""}",Val
"Food is delicious! Staffs are friendly! Will be back.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Yih Ting Ng""}",Val
"Tom yam pasta spicy level 49 makes you want to come back","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""maritus aja""}",Val
"The smoked duck pasta has always been my favourite and I’m happy to note that it’s as delicious as before!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Lydia Tan""}",Val
"Nice vibes and great pasta!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Rachel Leong""}",Val
"地点和环境是真不错，可惜食物每次都有点失望disappointed_face","{""rating"":2,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""tavie ha""}",Val
"Delicious foods! My friends and I were having a good time here. All the food that we ordered was yummy. face_savoring_food will come back for more!","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Walter Wong""}",Val
"We went for dinner. Busy as always. But still serve food at right time. They cook vegetarian food also.","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Gomathy Rajandran""}",Val
"Good food. Service depends on how crowded. No menu.  You need to know what you want to eat.  Evening meals are better as you can sit next to the sea.  Getting there without a car is challenging.","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Khaira Cheah""}",Val
"超级烂服务，尤其华人服务员的态度都非常不友善！欠他们几百万酱紫！再来食物自己没介绍好menu，怪顾客自己点错，一句道歉sorry也没有.点了5样食物，来了两碟，等吃完了才来另外两碟，吃完又来最后一碟face_with_rolling_eyesface_with_rolling_eyesface_with_rolling_eyes四周还一股臭味扑鼻thumbs_downthumbs_downthumbs_down","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""wong Kx""}",Val
"I worked in a famous seafood restaurant in Singapore where 90% diners came for chilli crab. Came to try chilli crab in Todak and we asked for 800-900gm crab. But when it was served, it looked much smaller than the requested size. It looked like 650-700gm only. I'm very certain they cheated on the weight of the crab.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Nikki Law""}",Val
"This is my first try and the last food. The food is bad. I won't recommend it to my friends.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Jeslyn Gan""}",Val
"Went for lunch today , ordered a crab and a red leopard grouper with 2 bottles of beer . Total coat RM415 for 2 pax . Crab was terrible wrong due to only shell and not fresh , is totally not from what i picked from the display tank . Fish was ok taste and no complaints. Not the first time visit but this might be the last time . Totally disappointed and not worth the time and effort travel there for such a dishonest restaurant.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Victor Foo""}",Val
"Come early before sunset for dinner if you want fresher & tastier seafood. Lesser crowd as well. Service was decent. Overall experience was satisfying & affordable.","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Felisciana Nyangun""}",Val
"Don't spend your money HERE ! ! Paying superior price and get super low quality food. Don't order crab here! - crab meat with slime - shell is big, once open up meat is smaller than anchovies - crab probably dying soon or already dead Told front desk about it, they dont even bother to explain,  only ask me how I want to make payment! Spend RM410 for 2 pax lunch ! Sucks food, bad experience, no service at all !!  Will update my review if I have any food poisoning issue","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""caely tham""}",Val
"Been many times, but my recent visit just 2 weeks ago was a big disappointment! The crabs , 1 piece were nt so fresh, the fish was bad, as it was overcooked n texture was rubbery! The Live prawns were NOT fresh at all as it was not caught live from the tank whn we were there! Very dissatisfied n disappointed!! We feedback to e staff and they were totally defensive and dismissive, rather than offering an attempt to understand or address the issue. There was no effort made to offer an apology or a form of compensation which made our experience more frustrating. When we asked for some compensation in e form of some discounts on our total bill, the reply we got was , “We r just workers, the boss is not around”! What kind of attitude n standards of service is this??","{""rating"":2,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Jen Chan""}",Val
"Among the most beautiful things to see in Kuala Lumpur","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Angelo Cocozza""}",Irr
"Yummy tom yum pasta thumbs_up_light_skin_tone","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Ang Breanna""}",Val
"lovely place to dine in! the food is really delicious have been coming back a few times :)","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Siew Yi""}",Val
"Tom yum pasta is nice, highly recommend. The fish is also nice","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Zhong Ci""}",Val
"food is good with alot of seats","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""zq""}",Val
"good environment ，nice foodsmiling_face_with_hearts","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""HAILEY WONG""}",Val
"vibe of the place is cute!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Megan Ng""}",Val
"Super slow in serving. Two hungry kids waited a long time. We will have to ask twice even for a bottle of mineral water. Very disappointed.","{""rating"":2,""store_name"":""49 SEATS"",""reviewer_name"":""Vicky Weiqi Zhang""}",Val
"It is great place for family gathering. Special wall decorations and cozy seat.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""limwenyi limwenyi""}",Val
"Nice choices of food","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Mr Bomboclat""}",Val
"comforting, tasty food for supper at affordable prices :) great service as well! 10% off after 10pm, and no service charge thumbs_up_medium-light_skin_tonethumbs_up_medium-light_skin_tone","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Kylie Loo""}",Val
"Pasta is tasty, and service is really good.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Alvin Lee""}",Val
"i ordered the duck agio olio and it was BITTER?? broken_heartbroken_heart waiting time was 45 mins and the pasta wasnt even hot plus it was hard. $20 for this pasta too mind you. the fries was cold too...","{""rating"":1,""store_name"":""49 SEATS"",""reviewer_name"":""Jacinda Tan""}",Val
"very welcoming staff and cosy ambience! famous for their signature tomyum! must try will be back soon :)","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""eilis""}",Val
"49seats is amazing the food here is yummy and service is awesome","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Ryan Tan""}",Val
"Delicious food and friendly staff!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Geraldine""}",Val
"Food was delicious and fresh. Would come again","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Farah Hana""}",Val
"Very traditional place and reasonable price to eat seafood","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""eeling ng""}",Val
"Nice place nice food, price a bit costly but seafood very fresh and many variety to choose. Must order curry prawn","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Pew Juz""}",Val
"food bad , waitress bad 1 5","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""X""}",Val
"Crab is nice. The rest of the dishes are average.","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""KIN""}",Val
"The food is ordinary and not very delicious. I saw dead crabs in the basket. I don’t know if it was cooked for customers. The service attitude is very poor. I can’t call it. I can’t get it. I didn’t take it seriously. I can’t call it. I can’t call it. I don’t recommend it. There is still a choice next door that is not his room. Then it’s very dark pink. I can’t see the food. . .","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Jared Tee""}",Val
"Love the food and the environment at night for dinner.","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""budiman ags""}",Val
"Was a little unsure about the reviews but was glad we made it. We arrived when it was low tide and as one other reviewer mentioned the garbage is exposed and the place looks dilapidated and filthy. However the restaurant itself is actually pretty clean including the toilet. The pricing is very reasonable and transparent. The seafood is very fresh and tasty. I did find the seasoning a little too heavy but overall happy with everything. Will love to return.","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Charlee November""}",Val
"I recently visited this restaurant. A spacious and clean seafood restaurant that serves no pork and no lard, making it suitable for a wider group of diners.  The restaurant is located slightly inside the area, but it's worth the trip. They have a wide variety of live and fresh seafood to choose. All the seafood are market price. Freshly catch and will be weigh in front of you.  The food was great as always, which is why I visit regularly. I especially enjoyed the Teochew steam fish and soy sauce prawn. Prices are average and reasonable for fresh seafood.  Staff were friendly and attentive and service was good.  A great place for seafood lovers—definitely recommended!","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Andrew Lim""}",Val
"I was recommended this restaurant by a saloon and wanted to try out the seafood. When we got there it was low tide and it didn't look appealing at all with all the trash in the water.  Service was non existent, find your own seating was the theme. Most of the staff were there to just carry or clear food and not much else.  Do not buy the satay or otah from one of the sub tenants. Total garbage, otah was more flour and colouring and had barely any fish, satay meat was cheap frozen chicken or meat with a lot of greasy fat.  I saw a lot of uneaten otah and satay sticks on many of the tables.  Price wise for 1.5 kg black pepper crab, mapo tofu, Kang Kong and some Chinese lettuce came to RM360. Which was expected for the quality.  However, if you included the time to drive there, it's a barely pass if u're looking for cheap food, if you're expecting decent quality or service, give this place a wide berth especially if getting a grab out of there will take hours of waiting as it's far from the city.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Dylan Lee""}",Val
"Reservation is a must, if not have to come earlier to find seats. Best to come before sunset.  Seafood by the sea,  very fresh seafood where u get to the items u want.  Must order the Black Pepper Crab, Steam Fish, Gam Heong Lala.  You get to order Satay too but by another vendor. The mutton Satay is so good!  Overall a good place to dine with family.  We had 1 chili crab, 2 black pepper crab, kam heong lala, steam fish, 2 vegetables, man tou + rice for 6 pax, total about RM945 including beer and drinks","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""MEY (Mochima)""}",Val
"one bite of the fish, and i felt like im under the sea.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Yun Yee""}",Val
"Service is quite chaotic. u have to find yr own seats first.. then queue to order yr seafood.  The place is full of mosquitoes so be prepared to be stung whilst dining.  The road into the restaurant is quite bad.. quite sandy and not paved properly.  At peak hours there is no parking available outside..  They don't use digital weighing scale to weight ur seafood and they weigh with the pail. so not very accurate.  If u want to dine there, order the crabs and live sea fish.. the prawns are not live and some are mushy.  the soya sauce for steaming the fish is too sweet.. overall not a very pleasant place to dine at","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Jon Peng""}",Val
"The seafood was absolutely wonderful. For 16 pax, we split into 2 tables and ordered similar dishes for both tables.  - Hotplate tofu - Drunken prawn soup - Fried baby squid - Kungpao chicken - Sambal kang kong - Garlic kai lan - 20 pcs of shelled scallops in total - Big head lala - 1.5kg red grouper - Fried crayfish  Some drinks included","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""terry tan""}",Val
"The road leading to the restaurant is kind of rough. Have to drive slowly as there are pod holes along the way. Food is nice. We ordered baby kailan, drunken prawn and 2 medium size crabs. We chose the crabs to be cooked in black pepper and chilli. The black pepper is very tasty. Whereas the chilli crab taste so so. It is different from the Singapore chilli crab style. The sauce is more watery. Taste kind of like tom yam. Drunken prawns are fresh. Customer service was OK. Atmosphere is OK. The restaurant is on a platform stretches out into the coastal area. Pricing is OK.","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Sam Lee""}",Val
"thumbs_up The seafood here is super fresh and the portions are really big—great value if you’re coming with a group of at least 4 people. Prices might seem high at first, but once you see the portion size, it makes sense. Definitely recommend for seafood lovers who enjoy sharing dishes!","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Angel Tam""}",Val
"Since 2002 loyal customer to this restaurant but the taste of the food not like last time.","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Retnam Ramesh""}",Val
"We arrived at around 5pm for an early dinner so not much crowd. Love the view overlooking Sembawang Park. Though, we were kinda disappointed because we were not advised on the weight of the seafood we chose before it was cooked. Staff also recommended an alcoholic dish despite knowing there was a Malay patron without informing that dish used cooking wine.","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Nurul Hidayah Kamari""}",Val
"The difference! Apart from the difference, it’s still a difference! I haven’t made any progress after so many years. The crabs we ordered have died for a long time and are still smelly. We obviously lived when we chose it. As long as we know what magic we changed in their kitchen. . What's worse is the attitude of those employees. . We gave a report that they were not happy, thinking that we would complain after eating the smelly crab. face_with_spiral_eyes was speechless. Later, I looked online and found out that we were not the first table to encounter this situation, but the store had no intention of making changes. . . Awesome. . .","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Kelyn _c""}",Val
"The food taste has improved since the last time i been there.. the previous time several months ago was a disappointment. Pricing is ok. Paid RM300 total for steam fish (750gm), curry prawns, fried eggs, veg, hor fun and 3 beers for 4 pax.","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Men Shiang Loh""}",Val
"I came here after hearing so much about the place..it’s quite famous and the scenery is undeniably beautiful. But sadly, the food was a big letdown. The Tom Yam soup was really bad and totally unacceptable. The Lemon Chicken had no salt at all, very bland. We ordered two types of fish, the 3 Rasa was way too sweet, and the ginger steam fish was just average. No fruit juice available either.  Honestly, it’s not worth the money. You’re paying for the view, not the food. Won’t be coming back","{""rating"":2,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""kriatini ranjan""}",Val
"The food is fine, the food is not marked","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""jiajin lee""}",Val
"The three sweet potato leaves have stones inside. The store later changed a new plate. The sand pot and tofu on it later had iron wire frowning_face. It was a disappointing experience. The key orders were all the employees who looked like they were the boss. Improper. The crab said 158. If you choose, it was 178.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Shu Hui""}",Val
"like the atmosphere","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Justin Yip""}",Val
"The food is delicious and the portion is large, so you can satisfy your thumbs_up","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Ang Crystal""}",Val
"I’m here for the good food and vibes smiling_face alot of tom yum selection here, i guess is their specialty!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Zache He""}",Val
"The food is amazing and the staff is friendly.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""King C""}",Val
"The best tomyum pasta! Known them.since the kreta ayer days!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Mingli""}",Val
"after many years, it never fails!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""shae png""}",Val
"Love the tomyum pasta","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Chy Chew""}",Val
"Nice atmosphere and food.","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Edwin Ng""}",Val
"how can you call your carbonara a carbonara when you drown it in a ton of cream and your sauce is not even that good, the meat is not even guanciale and it looks like some ham looking meat if it was bacon i could still say that its okay but no weird meat inside, there was nothing in the carbonara that i can even justify and say that its good and its 20 dollars. im sorry but i cant say its good","{""rating"":1,""store_name"":""49 SEATS"",""reviewer_name"":""Brian Yeo""}",Val
"Ordered the carbonara seafood. Sauce is creamy enough and there is plenty of clams in the pasta dish.  However, the pasta is on the pricier side... After gst, almost all of their pasta dishes will cost more than 22 dollars... i also felt a bit thirsty after eating the food.","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Hong GZ""}",Val
"Big portions of food, value for money.","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Aaron Chong""}",Val
"Cool vibes, interesting food choices!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Joshua Lim""}",Val
"Had a great dining experience at 49 Seats! The food was delicious, especially their signature pasta dishes. Cozy atmosphere, friendly staff, and reasonable prices. Definitely a spot worth revisiting!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Vincent Shawal""}",Val
"Cheap and good seafood.  Value for money. Will be back.","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Andrew Wong""}",Val
"Cheap but pay more for fresher array of seafoods. Long waiting during meal times. No availability of dinning tables.","{""rating"":2,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Phil KY""}",Val
"Quite cheap to eat Seaafood especially crabs. Kamheong tastes good, but I don't prefer her egg sambal crab. Parking is wide and if many people are a little fierce. You can see view of Sembawang Industrial Area Very close one","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Asikin Aziz""}",Val
"The  place  is amazing  the staff is highly  alert and the atmosphere  is welcoming","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Essie Ncube""}",Val
"Revisited this place after 20+ years, still just as popular! Great to see it’s stood the test of time.  Chope ur table first, table number is painted on the floor, queue at counter to place your orders.","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Ivan Tan""}",Val
"Went with some friends. Really enjoyed the deep fried sea bass. It was so fresh and tasty. Also enjoyed the spicy prawn dish (forgot the name). The prawns were succulent and sweet.  However the drunken prawns were a disappointment. The gravy tasted like plain water with a little hint of rice wine while the prawns weren’t as good as the first prawn dish.  Likely to come again with my family.","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Joanna Peck""}",Val
"The seafood was really impressive! The crab was fresh and the meat was tender and sweet. The tiger prawns were also very fresh, with a firm and juicy texture. The butter squid was rich and flavorful — perfectly cooked! We also had the chili sweet potato leaves, which added a nice spicy kick to balance the meal. Overall, a satisfying and delicious seafood feast","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""魔鬼中的天使""}",Val
"Lots of rubbish strewn over the car park and under the walk way to the restaurant. Other than crabs, the rest of the food doesn’t taste good.","{""rating"":3,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""HwaiChan Ng""}",Val
"The Lobster is amazing, and the crab is a must-try. 200% would recommend you to go if you were in Johor Bahru.","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Ethan Lim""}",Val
"Very packed. Have to wait 30 mins for table. Good food.","{""rating"":4,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Shamsul Muhmad""}",Val
"If you want LIVE seafood and at reasonable price, try here! Value for money :)","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Sing Huat""}",Val
"I think the food here is bad. Sometimes the taste will run away. The service attitude is bad. The serving is slow. They cook randomly. The taste is different every time. The price is expensive.","{""rating"":1,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Jyee儀""}",Val
"Nice dinner at the seafront","{""rating"":5,""store_name"":""Restoran Todak (Orang Asli)"",""reviewer_name"":""Edmund oh""}",Val
"Food is affordable and nice. Best of all no service charge:)","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Stanley Lee""}",Val
"We were really hungry and found this place on Google. Honestly, when we arrived, the restaurant turned out to be way better than how it looks in the photos. The food was absolutely delicious, and the service was 5 stars. Highly recommended! We even posted photos before and after to prove just how tasty it was!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Safir Masri""}",Val
"Delay with meal , accidentally given to another guest. When arrived it was only warm . Spoke with manager who apologized","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Barry Martin""}",Val
"the experience was excellent","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Ewan Yeoh""}",Val
"What we had:  Lunch Set (11.30am to 5pm) - Starter, main dish and drinks - $17.90  1. Tom Yum Seafood Pasta Visual: 4.5 5 Taste: 4.5 5 Creamy, spicy, and tangy — the taste and quality have been consistent for years. This is my go-to dish every time I’m here. I’ve tried tom yum pasta from other places, but this one’s my favorite. The amount of seafood is impressive too — I’m not even a big seafood fan, but I always manage to clean my plate. Chef’s kiss. Nothing bad to say about it :)  2. Cheesy Chicken Chop Visual: 4.5 5 Taste: 3.5 5 Generous portions — the plate was bigger than we expected! Lots of crispy fries and coleslaw to go around. Unfortunately, the chicken sauce tasted more like pizza sauce, giving it a pizza-on-chicken vibe. It lacked depth and the “wow” factor was mostly from the portion size. We probably wouldn’t order this dish again.  3. Cheese fries (ala carte $9.90) Visual: 4 5 Taste: 4 5 Looked awesome and tasty! Best to share with more than two people — we couldn’t finish it all and appreciated that the restaurant was happy to provide takeaway boxes. It’s a bit pricey, but when shared among a group, the cost is manageable. Plenty of sauce, both cheese and mayo — loved it!  TIP: Visit during their lunch hours for the set meal — it’s definitely worth the price then!","{""rating"":4,""store_name"":""49 SEATS"",""reviewer_name"":""Jehu Limang""}",Val
"Found a delicious pasta near your home. The kids like it very much and it tastes great","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Tsai Claire""}",Val
"Food quite pricey & not very good. At the end had to have post dinner at tiong bahru bakery to fill my stomach.","{""rating"":2,""store_name"":""49 SEATS"",""reviewer_name"":""George""}",Val
"Food is nice, service is fast but aircon needs a bit of work. Overall, will come again!","{""rating"":5,""store_name"":""49 SEATS"",""reviewer_name"":""Cheery""}",Val
